user,item,rating
429,407,3.0
132,3620,3.0
66,915,4.0
232,5260,4.5
249,7967,4.5
474,934,4.0
140,6502,3.0
596,9509,4.5
425,3636,4.0
582,8862,4.0
489,1067,3.5
294,1645,4.0
604,326,3.0
430,2833,4.0
6,569,3.0
466,5781,3.0
480,5723,4.0
288,3828,3.5
187,98,3.0
307,3875,1.5
82,2963,3.0
57,1284,3.0
453,258,5.0
593,911,4.5
607,258,3.0
381,5998,3.5
232,786,3.5
61,909,4.5
125,8973,3.0
42,1807,4.0
339,32,3.0
230,3815,4.0
22,7196,3.5
592,515,3.0
89,7200,5.0
249,3408,3.0
308,25,1.0
337,309,5.0
101,2532,1.0
156,706,5.0
453,2965,2.0
426,7023,2.5
462,4714,3.0
610,7239,4.0
274,5375,2.5
156,4506,4.0
597,1681,3.0
599,80,0.5
337,585,3.0
232,6502,3.5
274,4154,4.0
326,7591,3.5
590,816,3.0
610,9204,4.0
610,4114,5.0
510,1258,3.0
480,1960,1.5
600,1603,3.5
199,1379,4.0
18,8238,3.0
291,7629,4.0
140,4362,4.0
381,1161,3.5
289,839,2.0
6,333,3.0
559,399,3.0
608,923,3.0
474,1196,3.0
135,1444,4.0
469,1572,4.0
503,7842,4.0
414,4404,3.5
217,1171,3.0
477,1960,4.0
448,3410,1.5
221,3669,4.5
414,140,3.0
305,7399,4.0
103,514,4.5
42,424,3.0
19,1043,2.0
600,4097,0.5
139,6154,2.5
448,8107,2.5
256,8177,3.5
290,2097,4.0
380,8015,5.0
480,5928,3.0
91,451,1.0
68,5157,5.0
298,6901,3.0
187,1541,5.0
414,6713,2.0
597,2291,5.0
343,6535,5.0
489,903,4.0
132,5373,4.0
105,6081,4.5
305,3137,3.5
474,5715,4.0
608,323,3.5
182,2014,4.0
249,6340,4.0
474,4183,2.0
182,2051,5.0
590,6806,3.0
414,4098,1.5
347,1,5.0
474,4466,2.5
448,7903,4.0
458,251,3.0
132,2980,4.0
109,338,3.0
464,315,5.0
198,1916,3.0
18,258,4.0
515,6694,5.0
50,9580,3.5
385,192,4.0
68,7013,4.0
414,3603,4.0
263,5246,3.5
103,278,5.0
222,972,3.5
380,399,4.0
84,225,4.0
305,4403,5.0
603,77,5.0
188,793,5.0
305,7630,4.0
42,3399,2.0
590,933,4.5
217,955,2.0
601,7196,4.0
603,2185,3.0
104,505,3.0
590,521,4.0
211,6311,4.0
425,2980,3.0
448,1459,1.5
480,2805,3.5
525,1158,4.5
182,421,4.0
606,2703,4.5
39,856,4.0
51,1846,4.5
599,350,2.5
33,1797,4.0
19,819,4.0
274,6430,4.0
288,2941,3.5
604,202,3.0
448,139,4.0
387,900,4.0
285,99,5.0
452,1347,4.0
561,1181,2.5
325,1757,3.0
219,1100,3.0
365,6294,1.0
292,6906,2.0
4,958,4.0
474,4541,3.5
105,8390,4.0
138,1948,1.5
312,2788,3.0
607,1721,4.0
68,1796,1.5
182,2980,4.5
298,2415,3.0
603,2265,3.0
453,2133,4.0
607,2996,1.0
606,245,4.0
122,5896,4.0
202,1669,3.0
599,4484,2.5
332,4608,4.0
307,2885,1.5
222,405,3.5
561,5725,3.0
469,2249,2.0
68,5917,2.5
318,8957,3.0
422,3594,3.0
182,2939,2.5
428,3672,3.0
338,9701,2.5
600,2371,3.0
66,469,5.0
294,1253,3.0
308,900,1.0
240,132,4.0
599,5550,3.5
514,9451,2.5
100,4789,3.5
606,396,3.0
606,4824,4.5
104,4709,3.0
179,193,5.0
186,778,4.0
550,4154,4.0
385,934,4.0
387,5109,4.0
160,2241,2.0
518,1997,4.5
610,3815,4.5
590,6361,4.0
412,901,4.0
137,4792,5.0
221,2968,5.0
117,622,3.0
385,475,5.0
19,96,2.0
299,957,4.0
68,5289,2.5
402,9,3.0
63,5191,4.0
221,710,4.5
599,3634,4.0
307,5989,3.0
182,2551,4.0
357,816,3.5
484,4520,3.5
105,8619,4.0
39,521,5.0
274,3348,3.0
86,6694,4.5
380,7138,3.0
590,2442,4.0
469,1847,3.0
577,1181,3.0
195,1939,3.0
298,3624,3.0
325,959,4.0
279,8408,3.0
446,124,3.0
414,1802,3.0
432,1052,2.0
474,2509,3.5
174,157,5.0
45,98,5.0
519,4932,5.0
393,1211,5.0
63,4128,1.0
57,235,3.0
599,2613,2.5
68,6949,3.0
590,141,3.0
140,225,4.0
475,6754,4.5
232,6194,3.0
609,592,4.0
581,6295,3.0
42,1476,4.0
534,7205,4.0
599,9387,3.5
286,2602,3.0
91,1028,3.0
115,21,4.0
606,3426,1.0
252,8666,4.0
555,2035,1.0
555,419,4.0
603,389,4.0
543,4351,5.0
555,2248,3.0
448,6849,4.5
368,312,2.0
84,1054,3.0
28,252,3.0
560,6625,2.5
588,186,1.0
474,6168,4.0
318,315,4.5
608,6435,3.0
517,863,2.0
549,7356,5.0
365,8768,2.5
368,1848,3.0
56,218,3.0
89,732,3.5
312,4136,5.0
448,8886,4.0
318,6824,4.0
480,5979,1.5
76,603,3.0
318,8600,3.0
448,3311,1.0
599,4607,2.5
232,3442,2.5
184,9607,2.0
474,1635,3.5
525,8293,4.0
609,526,3.0
215,1503,3.0
187,6015,4.0
474,5006,3.5
239,1858,3.0
28,970,2.0
